SKU,Nome,Specie,Categoria,Specifiche,Prezzo_EUR
"SALV-F468-01","Salvia piccola","Salvia microphylla 'Blue Monrovia'","erbacea","",""
"A02-F562-01","Salvia uliginosa 'African skies'","Salvia uliginosa 'African skies'","erbacea","",""
"A02-F391-01","Salvione giallo","Phlomis fruticosa","erbacea","",""
"BOUG-F756-01","Sanderiana ale.","Bougainvillea sanderiana ale.","rampicante","",""
"A02-F474-01","Santolina","Santolina chamaecyparissus","arbusto","",""
"A02-F473-01","Santolina rosmarinifolia","Santolina rosmarinifolia","arbusto","",""
"A02-F477-01","Sarcopoterium spinosum","Sarcopoterium spinosum","arbusto","",""
"SCHE-F478-01","Schefflera actinophylla","Schefflera actinophylla","arbusto","",""
"A02-F478-01","Schefflera arboricola","Schefflera arboricola","arbusto","",""
"A01-F479-01","Schinus terebinthifolius","Schinus terebinthifolius","albero","",""
"A02-F482-01","Sedum telephium 'Herbstfreude'","Sedum telephium 'Herbstfreude'","erbacea","",""
"A02-F485-01","Sedum telephium 'Matrona'","Sedum telephium 'Matrona'","erbacea","",""
"SENE-F870-01","Senecio ficoides","Senecio ficoides","succulenta","",""
"A02-F488-01","Senecio mandraliscae","Senecio mandraliscae","succulenta","",""
"A02-F492-01","Solanum amygdaloides","Solanum amygdaloides","rampicante","",""
"A02-F501-01","Stachys bizantina 'Orecchie d'agnello'  )","Stachys bizantina 'Orecchie d'agnello'  )","erbacea","",""
"A02-F502-01","Stephanotis floribunda","Stephanotis floribunda","rampicante","",""
"A03-F503-01","Stipa tenuissima","Stipa tenuissima","graminacea","",""
"STIP-F729-01","Stipa tenuissima ""Pony Tails""","Stipa tenuissima ""Pony Tails""","graminacea","",""
"A05-F509-01","Strelitzia augusta","Strelitzia augusta","erbacea","",""
"A05-F510-01","Strelitzia reginae","Strelitzia reginae","erbacea","",""
"A01-F436-01","Sughero","Quercus suber","albero","",""
"A01-F591-01","Tamerice","Tamarix gallica 'Tamerice'","albero","",""
"A02-F514-01","Tecoma stans","Tecoma stans","rampicante","",""
"A02-F516-01","Teucrium marum","Teucrium marum","arbusto","",""
"A02-F523-01","Thymus capitatus 'Satra'","Thymus capitatus 'Satra'","aromatica","",""
"A02-F526-01","Thymus ciliatus","Thymus ciliatus","tappezzante","",""
"A02-F522-02","Thymus citriodorus 'Arancia'","Thymus citriodorus 'Arancia'","aromatica","",""
"A02-F522-01","Thymus citriodorus 'Lemon'","Thymus citriodorus 'Lemon'","aromatica","",""
"A02-F608-01","Thymus praecox","Thymus praecox","tappezzante","",""
"A02-F521-02","Thymus serpyllum","Thymus serpyllum","tappezzante","",""
"A02-F521-01","Thymus serpyllum 'Magic carpet'","Thymus serpyllum 'Magic carpet'","tappezzante","",""
"A02-F524-01","Thymus vulgaris 'Comune'","Thymus vulgaris 'Comune'","aromatica","",""
"CHAM-F830-01","Trachycarpus fortunei","Chamaerops excelslsa)","palma","",""
"A02-F527-01","Tradescantia pallida 'Purpurea'","Tradescantia pallida 'Purpurea'","erbacea","",""
"A04-F683-01","Trichocereus pasacana","Trichocereus pasacana","cactus","",""
"A02-F528-03","Tubalghia violacea","Tubalghia violacea","bulbosa","",""
"A02-F116-01","Valeriana bianca","Centranthus ruber 'Albus'","erbacea","",""
"CENT-F797-01","Valeriana bianca","Centranthus ruber 'Coccineus'","erbacea","",""
"A02-F536-01","Verbena bonariensis","Verbena bonariensis","arbusto-fiore","",""
"A02-F535-01","Verbena repens","Verbena repens","tappezzante","",""
"A02-F538-01","Viburnum lucidum","Viburnum lucidum","siepe","",""
"A02-F541-01","Vinca major","Vinca major","erbacea","",""
"A02-F541-02","Vinca major 'Variegata'","Vinca major 'Variegata'","erbacea","",""
"A02-F546-06","Vitis vinifera 'Black Magic'","Vitis vinifera 'Black Magic'","fruttifero","",""
"YUCC-FA04-02","Yucca filamentosa","Yucca filamentosa","succulenta","",""
"A04-F551-01","Yucca rostrata","Yucca rostrata","succulenta","",""
"YUCC-FA04-01","Yucca spp","Yucca spp","succulenta","",""
"A02-F554-01","Zanthoxylum beecheyanum","Zanthoxylum beecheyanum","arbusto","",""
